time,temperature_2m,relative_humidity_2m,precipitation,pressure_msl,wind_speed_10m,cloud_cover
2025-10-28 00:00:00,9.9,86,0.0,1015.4,12.8,12
2025-10-28 01:00:00,10.6,87,0.0,1015.3,13.1,100
2025-10-28 02:00:00,11.1,89,0.0,1015.0,14.8,100
2025-10-28 03:00:00,11.8,88,0.0,1014.7,14.0,98
2025-10-28 04:00:00,12.1,89,0.0,1014.2,14.7,33
2025-10-28 05:00:00,11.4,89,0.0,1014.2,15.5,100
2025-10-28 06:00:00,11.4,89,0.0,1014.2,14.9,100
2025-10-28 07:00:00,11.7,89,0.0,1013.9,15.5,100
2025-10-28 08:00:00,11.9,86,0.0,1013.8,17.9,100
2025-10-28 09:00:00,11.9,84,0.0,1014.2,17.6,100
2025-10-28 10:00:00,12.2,83,0.0,1014.2,17.7,99
2025-10-28 11:00:00,13.2,80,0.0,1014.0,15.9,97
2025-10-28 12:00:00,14.4,73,0.0,1013.9,22.2,80
2025-10-28 13:00:00,14.4,74,0.2,1013.6,19.3,84
2025-10-28 14:00:00,15.2,68,0.0,1013.1,20.4,56
2025-10-28 15:00:00,15.3,69,0.1,1012.8,18.9,99
2025-10-28 16:00:00,14.7,74,0.0,1012.8,13.9,100
2025-10-28 17:00:00,14.0,78,0.0,1012.8,13.1,100
2025-10-28 18:00:00,13.6,80,0.0,1012.9,13.1,100
2025-10-28 19:00:00,12.8,84,0.0,1013.2,11.1,91
2025-10-28 20:00:00,12.4,86,0.0,1013.3,11.1,22
2025-10-28 21:00:00,12.2,89,0.0,1013.2,11.1,82
2025-10-28 22:00:00,12.2,90,0.0,1013.0,10.5,89
2025-10-28 23:00:00,12.1,91,0.0,1012.5,9.7,31
2025-10-29 00:00:00,11.3,93,0.0,1012.3,9.7,35
2025-10-29 01:00:00,11.4,94,0.0,1011.7,8.8,73
2025-10-29 02:00:00,11.3,95,0.0,1011.3,8.3,100
2025-10-29 03:00:00,11.5,94,0.0,1010.6,8.0,100
2025-10-29 04:00:00,10.9,94,0.0,1009.6,7.2,99
2025-10-29 05:00:00,10.6,93,0.0,1008.8,8.0,98
2025-10-29 06:00:00,10.6,94,0.0,1008.0,8.3,100
2025-10-29 07:00:00,10.1,96,0.0,1007.2,8.3,100
2025-10-29 08:00:00,10.1,97,0.0,1006.6,8.5,100
2025-10-29 09:00:00,10.7,94,0.0,1006.0,9.3,100
2025-10-29 10:00:00,11.6,90,0.0,1005.3,11.6,100
2025-10-29 11:00:00,12.4,86,0.0,1004.3,8.1,100
2025-10-29 12:00:00,13.1,81,0.0,1003.5,8.7,100
2025-10-29 13:00:00,13.6,80,0.0,1002.5,8.1,100
2025-10-29 14:00:00,13.8,80,0.0,1001.7,8.5,100
2025-10-29 15:00:00,14.3,79,0.0,1000.7,8.3,100
2025-10-29 16:00:00,14.2,74,0.0,1000.4,15.5,100
2025-10-29 17:00:00,13.4,78,0.6,1000.0,14.9,100
2025-10-29 18:00:00,12.6,89,1.4,999.6,14.6,100
2025-10-29 19:00:00,12.5,94,1.9,999.7,14.2,100
2025-10-29 20:00:00,12.2,97,3.7,1000.0,13.8,100
2025-10-29 21:00:00,12.0,96,1.3,999.9,9.5,100
2025-10-29 22:00:00,11.6,95,0.1,1000.9,12.3,100
2025-10-29 23:00:00,11.1,94,0.0,1001.9,15.5,100
2025-10-30 00:00:00,10.9,94,0.0,1003.1,16.6,100
2025-10-30 01:00:00,11.4,93,0.0,1004.6,15.7,79
2025-10-30 02:00:00,10.9,92,0.0,1006.0,13.8,23
2025-10-30 03:00:00,10.2,92,0.0,1007.4,11.8,15
2025-10-30 04:00:00,9.7,93,0.0,1008.3,10.3,7
2025-10-30 05:00:00,9.5,94,0.0,1009.2,9.1,5
2025-10-30 06:00:00,9.1,94,0.0,1010.0,9.0,2
