time,temperature_2m,relative_humidity_2m,precipitation,pressure_msl,wind_speed_10m,cloud_cover
2025-11-15 00:00:00,14.0,93,0.1,1005.7,10.8,100
2025-11-15 01:00:00,13.3,95,0.0,1006.4,10.1,100
2025-11-15 02:00:00,12.4,96,8.0,1006.6,6.7,100
2025-11-15 03:00:00,12.6,96,4.4,1006.4,6.1,100
2025-11-15 04:00:00,12.1,97,1.8,1006.7,9.7,99
2025-11-15 05:00:00,11.8,95,0.1,1006.6,7.3,95
2025-11-15 06:00:00,11.0,97,0.0,1006.7,3.9,87
2025-11-15 07:00:00,10.9,98,0.0,1007.3,6.5,100
2025-11-15 08:00:00,10.9,98,0.0,1007.4,6.0,95
2025-11-15 09:00:00,11.3,98,0.0,1007.9,7.1,100
2025-11-15 10:00:00,12.4,96,0.0,1008.0,6.9,100
2025-11-15 11:00:00,13.1,91,0.0,1007.9,5.4,100
2025-11-15 12:00:00,13.8,89,0.0,1008.1,5.0,100
2025-11-15 13:00:00,13.1,95,0.1,1007.7,2.3,100
2025-11-15 14:00:00,13.2,95,1.5,1007.5,5.2,100
2025-11-15 15:00:00,13.0,96,1.2,1007.5,5.3,100
2025-11-15 16:00:00,12.6,96,2.3,1007.6,6.1,100
2025-11-15 17:00:00,12.2,97,1.9,1007.7,5.5,100
2025-11-15 18:00:00,12.1,98,1.3,1008.1,8.1,100
2025-11-15 19:00:00,11.9,97,0.9,1008.5,7.3,100
2025-11-15 20:00:00,11.9,97,0.4,1008.5,9.4,100
2025-11-15 21:00:00,11.4,97,0.2,1008.4,5.4,60
2025-11-15 22:00:00,10.6,96,0.6,1008.5,1.8,98
2025-11-15 23:00:00,10.4,97,0.0,1008.3,5.4,24
2025-11-16 00:00:00,9.8,98,0.0,1008.5,7.2,31
2025-11-16 01:00:00,10.9,99,0.0,1008.2,3.5,92
2025-11-16 02:00:00,9.9,99,0.2,1007.8,3.7,94
2025-11-16 03:00:00,9.4,99,0.0,1007.5,3.2,76
2025-11-16 04:00:00,9.2,100,0.0,1007.4,4.2,100
2025-11-16 05:00:00,8.6,100,0.0,1007.2,2.5,100
2025-11-16 06:00:00,8.2,100,0.0,1006.7,2.9,100
2025-11-16 07:00:00,8.4,100,0.0,1007.2,3.2,100
2025-11-16 08:00:00,8.4,100,0.0,1007.1,4.0,100
2025-11-16 09:00:00,8.6,100,0.0,1007.2,6.7,100
2025-11-16 10:00:00,9.4,98,0.0,1007.3,9.4,100
2025-11-16 11:00:00,10.1,95,0.0,1007.4,9.1,100
2025-11-16 12:00:00,11.1,94,0.0,1007.7,7.1,100
2025-11-16 13:00:00,11.2,96,0.0,1007.6,8.5,100
2025-11-16 14:00:00,11.9,91,0.0,1007.7,7.9,100
2025-11-16 15:00:00,12.4,88,0.1,1007.6,6.1,100
2025-11-16 16:00:00,12.4,88,0.0,1007.6,4.5,100
2025-11-16 17:00:00,11.5,91,0.0,1007.9,10.9,100
2025-11-16 18:00:00,10.7,92,0.0,1008.7,12.3,100
2025-11-16 19:00:00,10.2,92,0.0,1009.6,12.4,98
2025-11-16 20:00:00,9.6,91,0.0,1010.0,11.3,33
2025-11-16 21:00:00,9.0,91,0.0,1010.3,9.0,100
2025-11-16 22:00:00,8.9,87,0.0,1010.9,11.7,95
2025-11-16 23:00:00,8.1,86,0.0,1011.4,11.9,43
2025-11-17 00:00:00,7.3,88,0.0,1012.0,10.4,52
2025-11-17 01:00:00,7.3,88,0.0,1012.3,12.4,100
2025-11-17 02:00:00,7.2,86,0.0,1012.4,12.9,100
2025-11-17 03:00:00,7.0,80,0.0,1012.7,11.3,38
2025-11-17 04:00:00,6.2,77,0.0,1012.9,11.4,3
2025-11-17 05:00:00,5.1,79,0.0,1013.7,11.1,30
2025-11-17 06:00:00,4.8,81,0.0,1014.3,8.7,100
2025-11-17 07:00:00,5.5,85,0.0,1015.0,7.6,24
2025-11-17 08:00:00,5.5,86,0.0,1015.8,9.0,100
2025-11-17 09:00:00,6.6,86,0.0,1016.5,10.6,99
2025-11-17 10:00:00,7.2,84,0.0,1017.2,10.5,100
2025-11-17 11:00:00,7.6,84,0.0,1017.6,8.7,97
2025-11-17 12:00:00,8.9,73,0.0,1017.9,12.8,13
2025-11-17 13:00:00,8.9,78,0.0,1018.5,13.7,39
2025-11-17 14:00:00,8.9,72,0.2,1019.2,16.9,44
2025-11-17 15:00:00,8.5,69,0.1,1019.9,16.1,26
2025-11-17 16:00:00,7.7,71,0.0,1020.8,12.5,17
2025-11-17 17:00:00,7.0,73,0.0,1021.6,10.4,1
2025-11-17 18:00:00,6.2,75,0.0,1022.2,9.2,0
2025-11-17 19:00:00,5.4,80,0.0,1023.5,7.5,2
2025-11-17 20:00:00,4.6,84,0.0,1024.2,5.9,0
2025-11-17 21:00:00,4.2,84,0.0,1024.3,6.5,0
2025-11-17 22:00:00,3.8,84,0.0,1024.5,7.5,0
2025-11-17 23:00:00,3.5,85,0.0,1024.6,8.0,0
2025-11-18 00:00:00,3.0,86,0.0,1024.8,6.9,0
2025-11-18 01:00:00,2.2,90,0.0,1025.0,4.0,0
2025-11-18 02:00:00,1.3,92,0.0,1024.7,3.1,0
2025-11-18 03:00:00,0.9,94,0.0,1024.6,2.5,0
2025-11-18 04:00:00,0.8,96,0.0,1024.4,4.0,0
2025-11-18 05:00:00,0.4,96,0.0,1024.4,3.9,0
2025-11-18 06:00:00,0.1,97,0.0,1024.2,3.4,0
2025-11-18 07:00:00,-0.2,100,0.0,1024.2,2.4,24
2025-11-18 08:00:00,-0.7,99,0.0,1024.1,3.1,79
2025-11-18 09:00:00,0.3,98,0.0,1024.1,5.9,90
2025-11-18 10:00:00,1.6,95,0.0,1023.9,6.0,20
2025-11-18 11:00:00,3.3,90,0.0,1023.4,4.3,75
2025-11-18 12:00:00,5.2,83,0.0,1022.5,5.8,16
2025-11-18 13:00:00,7.1,75,0.0,1021.4,7.8,64
2025-11-18 14:00:00,7.6,71,0.0,1020.7,11.1,62
2025-11-18 15:00:00,8.0,67,0.0,1019.5,9.8,98
2025-11-18 16:00:00,8.0,66,0.0,1018.8,8.3,98
2025-11-18 17:00:00,7.3,69,0.0,1018.3,9.6,88
2025-11-18 18:00:00,6.7,74,0.0,1017.8,10.3,92
2025-11-18 19:00:00,6.2,78,0.0,1017.5,10.9,8
2025-11-18 20:00:00,5.4,82,0.0,1016.8,13.1,49
2025-11-18 21:00:00,5.2,83,0.0,1016.2,13.1,100
2025-11-18 22:00:00,5.5,81,0.0,1015.4,14.2,100
2025-11-18 23:00:00,6.0,79,0.0,1014.6,15.5,100
2025-11-19 00:00:00,6.2,77,0.0,1013.6,15.7,100
2025-11-19 01:00:00,5.9,79,0.0,1013.1,14.6,96
2025-11-19 02:00:00,5.2,83,0.2,1012.5,12.5,100
2025-11-19 03:00:00,5.6,85,0.0,1011.7,14.5,100
2025-11-19 04:00:00,5.6,86,0.0,1010.6,14.8,70
2025-11-19 05:00:00,5.4,87,0.0,1009.6,15.3,34
2025-11-19 06:00:00,5.4,87,0.0,1009.0,15.9,71
2025-11-19 07:00:00,5.3,93,0.0,1008.4,15.0,100
2025-11-19 08:00:00,5.6,93,0.0,1007.6,16.6,100
2025-11-19 09:00:00,5.9,91,0.0,1007.2,16.3,100
2025-11-19 10:00:00,6.4,90,0.2,1006.8,17.8,100
2025-11-19 11:00:00,6.5,90,0.2,1006.2,17.6,100
2025-11-19 12:00:00,6.8,92,0.1,1005.4,17.4,100
2025-11-19 13:00:00,6.6,93,0.4,1005.0,16.9,88
2025-11-19 14:00:00,6.7,83,0.7,1004.7,17.8,80
2025-11-19 15:00:00,6.8,75,0.0,1004.4,18.0,35
2025-11-19 16:00:00,6.5,75,0.0,1004.5,15.0,29
